Column1	pietrocurve	ourcurve								
label:x										
16.225	-0.0123223	-0.206991								
16.25	-0.01157	-0.15423								
16.275	-0.0108696	-0.114927								
16.3	-0.010216	-0.0856498								
16.325	-0.00960518	-0.0638404								
16.35	-0.00903337	-0.0475941								
16.375	-0.00849749	-0.0354919								
16.4	-0.00799483	-0.0264768								
16.425	-0.00752297	-0.0197612								
16.45	-0.00707977	-0.0147586								
16.475	-0.00666329	-0.0110321								
16.5	-0.00627178	-0.00825613								
16.525	-0.00590363	-0.00618826								
16.55	-0.00555737	-0.00464786								
16.575	-0.00523163	-0.00350038								
16.6	-0.00492516	-0.0026456								
16.625	-0.00463677	-0.00200886								
16.65	-0.00436539	-0.00153454								
16.675	-0.00410998	-0.00118121								
16.7	-0.00386959	-0.000918004								
16.725	-0.00364333	-0.000721938								
16.75	-0.00343037	-0.000575884								
16.775	-0.0032299	-0.000467086								
16.8	-0.0030412	-0.00038604								
16.825	-0.00286357	-0.000325667								
16.85	-0.00269636	-0.000280694								
16.875	-0.00253896	-0.000247192								
16.9	-0.00239078	-0.000222237								
16.925	-0.00225129	-0.000203647								
16.95	-0.00211998	-0.000189798								
16.975	-0.00199637	-0.000179483								
17	-0.00188	-0.000171798								
17.025	-0.00177044	-0.000166074								
17.05	-0.00166731	-0.00016181								
17.075	-0.00157022	-0.000158633								
17.1	-0.00147882	-0.000156267								
17.125	-0.00139278	-0.000154504								
17.15	-0.00131177	-0.000153191								
17.175	-0.00123551	-0.000152213								
17.2	-0.00116372	-0.000151485								
17.225	-0.00109613	-0.000150942								
17.25	-0.0010325	-0.000150538								
17.275	-0.0009726	-0.000150236								
17.3	-0.000916205	-0.000150012								
17.325	-0.000863113	-0.000149845								
17.35	-0.00081313	-0.00014972								
17.375	-0.000766073	-0.000149628								
17.4	-0.000721771	-0.000149559								
17.425	-0.000680063	-0.000149507								
17.45	-0.000640796	-0.000149469								
17.475	-0.000603827	-0.00014944								
17.5	-0.000569022	-0.000149419								
17.525	-0.000536254	-0.000149403								
17.55	-0.000505403	-0.000149391								
17.575	-0.000476357	-0.000149382								
17.6	-0.00044901	-0.000149376								
17.625	-0.000423263	-0.000149371								
17.65	-0.000399022	-0.000149367								
17.675	-0.000376198	-0.000149365								
17.7	-0.000354709	-0.000149363								
17.725	-0.000334476	-0.000149361								
17.75	-0.000315425	-0.00014936								
17.775	-0.000297488	-0.000149359								
17.8	-0.000280599	-0.000149359								
17.825	-0.000264696	-0.000149358								
17.85	-0.000249723	-0.000149358								
17.875	-0.000235624	-0.000149358								
17.9	-0.000222348	-0.000149357								
17.925	-0.000209846	-0.000149357								
17.95	-0.000198075	-0.000149357								
17.975	-0.00018699	-0.000149357								
